census_tract,state,jumbo,amount_loaned,loans
0,,0,1874320000,8134
0,,1,466825000,397
1001020100,AL,0,3680000,18
1001020200,AL,0,2280000,14
1001020300,AL,0,7725000,45
1001020400,AL,0,10275000,63
1001020501,AL,0,18690000,86
1001020501,AL,1,945000,1
1001020502,AL,0,6970000,38
1001020503,AL,0,11975000,45
1001020600,AL,0,9910000,44
1001020700,AL,0,6380000,38
1001020801,AL,0,10610000,32
1001020803,AL,0,11275000,51
1001020803,AL,1,735000,1
1001020804,AL,0,43770000,144
1001020804,AL,1,785000,1
1001020805,AL,0,8965000,43
1001020901,AL,0,12300000,62
1001020902,AL,0,7900000,46
1001021000,AL,0,4680000,34
1001021100,AL,0,5920000,36
1003010100,AL,0,8225000,39
1003010200,AL,0,3610000,22
1003010300,AL,0,33975000,119
1003010300,AL,1,3665000,5
1003010400,AL,0,25005000,105
1003010400,AL,1,1630000,2
1003010500,AL,0,10885000,61
1003010600,AL,0,2995000,19
1003010704,AL,0,26140000,124
1003010706,AL,0,21895000,75
1003010706,AL,1,2235000,3
1003010707,AL,0,27095000,99
1003010708,AL,0,89675000,311
1003010708,AL,1,2990000,4
1003010709,AL,0,131830000,440
1003010709,AL,1,12345000,15
1003010710,AL,0,44675000,181
1003010711,AL,0,11845000,67
1003010800,AL,0,30825000,95
1003010800,AL,1,29650000,20
1003010903,AL,0,20170000,92
1003010904,AL,0,26410000,118
1003010904,AL,1,2250000,2
1003010906,AL,0,9675000,53
1003010907,AL,0,25750000,112
1003010907,AL,1,755000,1
1003010908,AL,0,13150000,72
1003011000,AL,0,24755000,105
1003011000,AL,1,1510000,2
1003011102,AL,0,41895000,139
1003011102,AL,1,5130000,6
1003011103,AL,0,33915000,111
1003011103,AL,1,8310000,8
1003011104,AL,0,59710000,200
1003011104,AL,1,3275000,3
1003011201,AL,0,27505000,85
1003011201,AL,1,13115000,15
1003011202,AL,0,44210000,122
1003011202,AL,1,18905000,21
1003011300,AL,0,34480000,96
1003011300,AL,1,24365000,17
1003011409,AL,0,18155000,83
1003011409,AL,1,905000,1
1003011410,AL,0,36570000,166
1003011410,AL,1,3225000,3
1003011411,AL,0,39795000,157
1003011411,AL,1,2100000,2
1003011412,AL,0,44965000,143
1003011412,AL,1,2760000,4
1003011413,AL,0,37725000,129
1003011413,AL,1,4500000,4
1003011414,AL,0,57735000,149
1003011414,AL,1,26740000,24
1003011415,AL,0,76590000,168
1003011415,AL,1,71110000,70
1003011416,AL,0,79285000,233
1003011416,AL,1,46080000,42
1003011417,AL,0,33345000,97
1003011417,AL,1,3905000,5
1003011418,AL,0,113850000,294
1003011418,AL,1,38015000,45
1003011419,AL,0,114845000,349
1003011419,AL,1,50865000,53
1003011501,AL,0,37675000,181
1003011503,AL,0,44410000,212
1003011504,AL,0,31410000,132
1003011504,AL,1,945000,1
1003011601,AL,0,28595000,121
1003011601,AL,1,3235000,3
1003011603,AL,0,17110000,80
1003011604,AL,0,17300000,66
1003011604,AL,1,3615000,3
1005950100,AL,0,3720000,18
1005950200,AL,0,1215000,9
1005950300,AL,0,920000,6
1005950400,AL,0,810000,6
1005950500,AL,0,3910000,22
1005950600,AL,0,2165000,11
1005950700,AL,0,1415000,7
1005950800,AL,0,2830000,18
1005950900,AL,0,3175000,25
1007010001,AL,0,3445000,25
1007010005,AL,0,9895000,49
1007010006,AL,0,5885000,29
1007010007,AL,0,2950000,22
1007010008,AL,0,3725000,23
1007010009,AL,0,2270000,18
1007010010,AL,0,4705000,25
1007010011,AL,0,1405000,11
1009050103,AL,0,2980000,16
1009050104,AL,0,7340000,38
1009050105,AL,0,13505000,75
1009050106,AL,0,7160000,46
1009050107,AL,0,11765000,63
1009050200,AL,0,8620000,58
1009050301,AL,0,5295000,33
1009050302,AL,0,5175000,35
1009050400,AL,0,7790000,46
1009050501,AL,0,5970000,42
1009050502,AL,0,6140000,42
1009050601,AL,0,9740000,60
1009050601,AL,1,985000,1
1009050603,AL,0,15900000,84
1009050604,AL,0,15990000,82
1009050701,AL,0,13735000,81
1009050702,AL,0,6655000,39
1011952100,AL,0,800000,6
1011952201,AL,0,800000,4
1011952201,AL,1,705000,1
1011952202,AL,0,325000,3
1011952500,AL,0,1695000,15
1011952500,AL,1,1085000,1
1013952700,AL,0,1845000,13
1013952800,AL,0,1075000,9
1013952900,AL,0,3255000,17
1013953000,AL,0,1010000,8
1013953100,AL,0,1220000,12
1013953200,AL,0,3060000,24
1013953300,AL,0,1715000,13
1013953400,AL,0,1285000,11
1013953500,AL,0,910000,6
1015000200,AL,0,1545000,21
1015000300,AL,0,335000,7
1015000400,AL,0,690000,10
1015000500,AL,0,110000,2
1015000600,AL,0,115000,1
1015000700,AL,0,3835000,23
1015000800,AL,0,1475000,11
1015000900,AL,0,11195000,59
1015001000,AL,0,15505000,89
1015001101,AL,0,7410000,30
1015001101,AL,1,845000,1
1015001102,AL,0,1500000,12
1015001103,AL,0,8445000,51
1015001201,AL,0,4800000,34
1015001202,AL,0,5560000,38
1015001300,AL,0,580000,8
1015001400,AL,0,3025000,23
1015001501,AL,0,2735000,21
1015001502,AL,0,3485000,23
1015001600,AL,0,2070000,22
1015001700,AL,0,7415000,61
1015001801,AL,0,1980000,20
1015001802,AL,0,6320000,50
1015002001,AL,0,5485000,35
1015002002,AL,0,13835000,65
1015002101,AL,0,1620000,10
1015002102,AL,0,8940000,52
1015002104,AL,0,8975000,55
1015002105,AL,0,3280000,22
1015002200,AL,0,5855000,45
1015002300,AL,0,3305000,23
1015002400,AL,0,8180000,54
1015002502,AL,0,7890000,44
1015002503,AL,0,5930000,36
1015002504,AL,0,6530000,36
1015002600,AL,0,12910000,70
1015981901,AL,0,75000,1
1017953800,AL,0,6135000,43
1017953900,AL,0,2600000,18
1017954001,AL,0,4925000,23
1017954002,AL,0,2590000,18
1017954200,AL,0,3290000,20
1017954300,AL,0,4155000,23
1017954600,AL,0,3350000,30
1017954700,AL,0,4310000,32
1017954800,AL,0,2360000,18
1019955701,AL,0,9855000,47
1019955701,AL,1,785000,1
1019955702,AL,0,9990000,48
1019955801,AL,0,4850000,30
1019955802,AL,0,11715000,51
1019955900,AL,0,9875000,55
1019956000,AL,0,12875000,61
1019956000,AL,1,665000,1
1019956101,AL,0,3665000,19
1019956102,AL,0,7270000,40
1021060101,AL,0,10265000,53
1021060103,AL,0,6925000,41
1021060104,AL,0,8160000,50
1021060200,AL,0,9005000,41
1021060300,AL,0,12295000,59
1021060300,AL,1,775000,1
1021060401,AL,0,14650000,78
1021060403,AL,0,3425000,23
1021060404,AL,0,8045000,41
1021060500,AL,0,5560000,32
1021060600,AL,0,9805000,59
1021060701,AL,0,4450000,26
1021060702,AL,0,7085000,39
1023956700,AL,0,910000,10
1023956800,AL,0,3145000,27
1023956900,AL,0,2115000,19
1023957000,AL,0,1250000,12
1025957500,AL,0,2125000,15
1025957601,AL,0,780000,6
1025957603,AL,0,2440000,12
1025957604,AL,0,2770000,18
1025957700,AL,0,1055000,9
1025957800,AL,0,4910000,30
1025957901,AL,0,4065000,27
1025957902,AL,0,3205000,25
1025958003,AL,0,1545000,15
1027958900,AL,0,9155000,53
1027959000,AL,0,1770000,14
1027959100,AL,0,2545000,17
1027959200,AL,0,1525000,13
1029959500,AL,0,2645000,21
1029959600,AL,0,8365000,43
1029959700,AL,0,8040000,42
1029959800,AL,0,13515000,67
1031010100,AL,0,3115000,19
1031010200,AL,0,2390000,18
1031010300,AL,0,10515000,47
1031010400,AL,0,4980000,24
1031010500,AL,0,4660000,30
1031010600,AL,0,1085000,9
1031010700,AL,0,5540000,32
1031010800,AL,0,9235000,39
1031010900,AL,0,5060000,26
1031011000,AL,0,6985000,43
1031011100,AL,0,3190000,20
1031011203,AL,0,12025000,59
1031011203,AL,1,895000,1
1031011204,AL,0,14050000,50
1031011205,AL,0,5665000,37
1031011206,AL,0,6235000,55
1031011300,AL,0,3270000,22
1033020100,AL,0,5060000,48
1033020200,AL,0,2615000,25
1033020300,AL,0,640000,16
1033020400,AL,0,3760000,26
1033020500,AL,0,17045000,103
1033020600,AL,0,10480000,70
1033020703,AL,0,20415000,107
1033020704,AL,0,14750000,94
1033020705,AL,0,6015000,21
1033020706,AL,0,27800000,114
1033020706,AL,1,655000,1
1033020801,AL,0,14015000,61
1033020801,AL,1,9650000,10
1033020802,AL,0,4595000,33
1033020901,AL,0,6940000,44
1033020902,AL,0,7465000,45
1033020902,AL,1,855000,1
1033021000,AL,0,7800000,48
1033021000,AL,1,4700000,4
1035960200,AL,0,1535000,11
1035960300,AL,0,1025000,11
1035960400,AL,0,1435000,15
1035960500,AL,0,460000,4
1035960600,AL,0,2130000,16
1037961000,AL,0,2230000,18
1037961100,AL,0,6595000,37
1037961200,AL,0,10665000,39
1037961200,AL,1,10420000,12
1039961600,AL,0,15670000,76
1039961700,AL,0,4240000,34
1039961800,AL,0,4615000,39
1039961900,AL,0,7135000,43
1039962000,AL,0,6840000,46
1039962100,AL,0,1720000,14
1039962300,AL,0,6210000,42
1039962400,AL,0,5395000,39
1039962500,AL,0,545000,9
1039962600,AL,0,985000,7
1039962700,AL,0,820000,8
1039962800,AL,0,2335000,15
1039962900,AL,0,1470000,12
1039963000,AL,0,4970000,26
1041963400,AL,0,2790000,22
1041963500,AL,0,3335000,23
1041963600,AL,0,3105000,27
1041963700,AL,0,3995000,33
1041963800,AL,0,1370000,10
1041963900,AL,0,2630000,18
1043964100,AL,0,12900000,74
1043964201,AL,0,7285000,57
1043964202,AL,0,11190000,60
1043964202,AL,1,1840000,2
1043964300,AL,0,16865000,85
1043964300,AL,1,1115000,1
1043964400,AL,0,10765000,51
1043964500,AL,0,8245000,61
1043964500,AL,1,785000,1
1043964600,AL,0,8170000,54
1043964700,AL,0,15360000,78
1043964700,AL,1,655000,1
1043964800,AL,0,8530000,46
1043964901,AL,0,7260000,36
1043964902,AL,0,14125000,65
1043964902,AL,1,1205000,1
1043965001,AL,0,9285000,41
1043965002,AL,0,5815000,33
1043965100,AL,0,14880000,74
1043965200,AL,0,5615000,31
1043965300,AL,0,9050000,60
1043965401,AL,0,5275000,29
1043965402,AL,0,7810000,56
1043965501,AL,0,4130000,22
1043965502,AL,0,22950000,92
1043965502,AL,1,3250000,4
1043965600,AL,0,31315000,91
1043965600,AL,1,21810000,20
1043965700,AL,0,11075000,47
1043965700,AL,1,7680000,8
1045020100,AL,0,5320000,36
1045020200,AL,0,3580000,20
1045020300,AL,0,2905000,19
1045020400,AL,0,4585000,29
1045020500,AL,0,2325000,19
1045020700,AL,0,1350000,12
1045020801,AL,0,1725000,15
1045020802,AL,0,3365000,25
1045021101,AL,0,5105000,33
1045021101,AL,1,685000,1
1045021102,AL,0,2435000,23
1045021200,AL,0,2530000,20
1045021300,AL,0,14205000,65
1045021400,AL,0,4625000,29
1047956101,AL,0,1290000,12
1047956102,AL,0,3115000,19
1047956201,AL,0,1915000,9
1047956202,AL,0,2465000,17
1047956300,AL,0,815000,11
1047956400,AL,0,205000,3
1047956500,AL,0,35000,1
1047956600,AL,0,455000,5
1047956701,AL,0,2045000,17
1047956702,AL,0,1375000,11
1047956800,AL,0,1800000,10
1047956900,AL,0,765000,7
1047957100,AL,0,1130000,6
1047957200,AL,0,80000,2
1047957301,AL,0,390000,4
1047957302,AL,0,530000,4
1049960101,AL,0,3205000,19
1049960102,AL,0,5345000,43
1049960200,AL,0,3385000,25
1049960301,AL,0,1325000,7
1049960302,AL,0,655000,7
1049960303,AL,0,5870000,32
1049960401,AL,0,1905000,7
1049960402,AL,0,10570000,62
1049960500,AL,0,6220000,38
1049960601,AL,0,1710000,16
1049960601,AL,1,715000,1
1049960602,AL,0,7900000,64
1049960701,AL,0,1470000,10
1049960702,AL,0,415000,5
1049960703,AL,0,2280000,22
1049960800,AL,0,3995000,29
1049960900,AL,0,3630000,24
1049961000,AL,0,4705000,29
1049961100,AL,0,2345000,17
1049961200,AL,0,4860000,18
1049961300,AL,0,6955000,43
1049961400,AL,0,9390000,38
1049961400,AL,1,1560000,2
1051030101,AL,0,15660000,66
1051030101,AL,1,865000,1
1051030102,AL,0,9610000,40
1051030103,AL,0,2070000,12
1051030200,AL,0,17120000,82
1051030200,AL,1,1520000,2
1051030300,AL,0,26355000,85
1051030300,AL,1,51720000,44
1051030401,AL,0,5555000,27
1051030402,AL,0,11480000,54
1051030500,AL,0,16815000,81
1051030600,AL,0,14080000,80
1051030600,AL,1,805000,1
1051030701,AL,0,42065000,167
1051030701,AL,1,705000,1
1051030702,AL,0,16850000,70
1051030801,AL,0,4540000,34
1051030802,AL,0,8920000,48
1051030901,AL,0,15765000,83
1051030902,AL,0,10060000,54
1051031001,AL,0,10220000,50
1051031002,AL,0,8720000,42
1051031100,AL,0,10580000,58
1051031200,AL,0,2715000,13
1051031300,AL,0,6165000,37
1053969801,AL,0,535000,7
1053969802,AL,0,1755000,17
1053969900,AL,0,5090000,36
1053970100,AL,0,9240000,48
1053970200,AL,0,805000,5
1053970300,AL,0,4190000,30
1053970400,AL,0,3055000,25
1053970500,AL,0,7440000,38
1053970600,AL,0,1770000,12
1053970700,AL,0,5455000,39
1055000200,AL,0,1780000,20
1055000300,AL,0,820000,4
1055000400,AL,0,10230000,70
1055000400,AL,1,865000,1
1055000500,AL,0,690000,8
1055000600,AL,0,715000,9
1055000700,AL,0,285000,5
1055000800,AL,0,110000,2
1055000900,AL,0,2180000,16
1055001000,AL,0,675000,7
1055001100,AL,0,28305000,99
1055001100,AL,1,1570000,2
1055001200,AL,0,3410000,24
1055001300,AL,0,985000,9
1055001600,AL,0,2505000,19
1055001700,AL,0,880000,10
1055010100,AL,0,1410000,14
1055010201,AL,0,1715000,19
1055010202,AL,0,2320000,22
1055010300,AL,0,3585000,23
1055010401,AL,0,2930000,18
1055010402,AL,0,21820000,98
1055010503,AL,0,14650000,80
1055010503,AL,1,2410000,2
1055010504,AL,0,19860000,94
1055010504,AL,1,1205000,1
1055010505,AL,0,4370000,32
1055010506,AL,0,4975000,23
1055010601,AL,0,15970000,92
1055010602,AL,0,4080000,28
1055010700,AL,0,4915000,31
1055010800,AL,0,3260000,26
1055010900,AL,0,4260000,22
1055011001,AL,0,11830000,62
1055011002,AL,0,5305000,37
1055011100,AL,0,6155000,45
1055011200,AL,0,565000,11
1057020000,AL,0,1295000,7
1057020100,AL,0,3665000,23
1057020200,AL,0,3025000,23
1057020300,AL,0,2765000,23
1057020400,AL,0,5170000,34
1059972900,AL,0,3830000,26
1059973000,AL,0,3565000,27
1059973100,AL,0,3450000,28
1059973200,AL,0,3435000,27
1059973300,AL,0,1550000,16
1059973400,AL,0,1655000,17
1059973500,AL,0,4335000,31
1059973600,AL,0,1800000,14
1059973701,AL,0,2060000,14
1059973702,AL,0,75000,1
1059973703,AL,0,3020000,24
1061050100,AL,0,4005000,51
1061050200,AL,0,3790000,28
1061050300,AL,0,5200000,44
1061050400,AL,0,9620000,74
1061050500,AL,0,7895000,51
1061050600,AL,0,8310000,46
1063060000,AL,0,1185000,9
1063060101,AL,0,205000,3
1063060102,AL,0,1805000,13
1063060200,AL,0,915000,7
1065040000,AL,0,7355000,41
1065040100,AL,0,1475000,9
1065040200,AL,0,1110000,8
1065040300,AL,0,1705000,17
1065040401,AL,0,1275000,11
1065040402,AL,0,440000,4
1065040500,AL,0,1530000,10
1067030100,AL,0,1425000,9
1067030200,AL,0,2085000,19
1067030300,AL,0,8685000,41
1067030400,AL,0,2200000,10
1067030500,AL,0,16205000,75
1067030600,AL,0,2445000,15
1069040100,AL,0,20725000,91
1069040100,AL,1,2425000,3
1069040203,AL,0,15710000,56
1069040204,AL,0,14975000,67
1069040205,AL,0,18335000,77
1069040205,AL,1,905000,1
1069040206,AL,0,9415000,43
1069040206,AL,1,2265000,3
1069040301,AL,0,5355000,41
1069040302,AL,0,2490000,20
1069040400,AL,0,10440000,40
1069040500,AL,0,7875000,47
1069040500,AL,1,2155000,3
1069040600,AL,0,115000,1
1069040700,AL,0,1800000,20
1069040801,AL,0,16150000,86
1069040802,AL,0,7940000,42
1069040900,AL,0,16015000,87
1069041000,AL,0,2385000,25
1069041100,AL,0,2420000,22
1069041200,AL,0,545000,5
1069041400,AL,0,1195000,7
1069041500,AL,0,3855000,25
1069041600,AL,0,6875000,33
1069041700,AL,0,1665000,15
1069041800,AL,0,2275000,13
1069041901,AL,0,2690000,16
1069041902,AL,0,9500000,52
1069042000,AL,0,9250000,54
1069042100,AL,0,20465000,105
1071950101,AL,0,4675000,41
1071950102,AL,0,7000000,44
1071950200,AL,0,4755000,39
1071950301,AL,0,4555000,29
1071950302,AL,0,4175000,29
1071950400,AL,0,2630000,18
1071950400,AL,1,3005000,1
1071950500,AL,0,6985000,33
1071950601,AL,0,3145000,23
1071950602,AL,0,2605000,19
1071950700,AL,0,12135000,55
1071950700,AL,1,1605000,1
1071950800,AL,0,5475000,37
1071950901,AL,0,5350000,28
1071950902,AL,0,15630000,62
1071950902,AL,1,7975000,9
1071951000,AL,0,5845000,35
1071951101,AL,0,5925000,43
1071951102,AL,0,6525000,33
1071951102,AL,1,1125000,1
1073000100,AL,0,1420000,16
1073000300,AL,0,3595000,17
1073000400,AL,0,700000,10
1073000500,AL,0,895000,9
1073000700,AL,0,55000,1
1073000800,AL,0,365000,5
1073001100,AL,0,1890000,18
1073001200,AL,0,510000,6
1073001400,AL,0,175000,3
1073001500,AL,0,515000,5
1073001600,AL,0,8085000,31
1073001902,AL,0,1545000,13
1073002000,AL,0,3465000,27
1073002100,AL,0,4400000,36
1073002200,AL,0,1710000,14
1073002303,AL,0,1245000,9
1073002305,AL,0,30480000,106
1073002306,AL,0,36450000,120
1073002401,AL,0,8185000,29
1073002402,AL,0,105000,1
1073002701,AL,0,18560000,66
1073002701,AL,1,1680000,2
1073002702,AL,0,215000,1
1073002900,AL,0,500000,4
1073003001,AL,0,3135000,23
1073003002,AL,0,1490000,12
1073003100,AL,0,2945000,17
1073003200,AL,0,65000,1
1073003400,AL,0,995000,11
1073003500,AL,0,325000,3
1073003600,AL,0,4515000,37
1073003700,AL,0,1275000,13
1073003802,AL,0,1770000,22
1073003803,AL,0,945000,13
1073003900,AL,0,200000,2
1073004000,AL,0,1460000,6
1073004200,AL,0,1230000,10
1073004502,AL,0,3260000,12
1073004502,AL,1,1550000,2
1073004701,AL,0,13575000,53
1073004701,AL,1,1430000,2
1073004702,AL,0,19685000,67
1073004702,AL,1,8115000,9
1073004800,AL,0,7940000,20
1073004800,AL,1,5355000,5
1073004901,AL,0,2215000,9
1073004902,AL,0,8515000,37
1073005000,AL,0,10960000,48
1073005103,AL,0,1400000,14
1073005104,AL,0,1570000,10
1073005200,AL,0,1090000,10
1073005302,AL,0,13975000,79
1073005500,AL,0,310000,4
1073005600,AL,0,36750000,128
1073005701,AL,0,210000,4
1073005702,AL,0,585000,7
1073005800,AL,0,2900000,20
1073005903,AL,0,9780000,60
1073005905,AL,0,4135000,37
1073005907,AL,0,4850000,32
1073005908,AL,0,3895000,33
1073005909,AL,0,2590000,18
1073005910,AL,0,5070000,34
1073010001,AL,0,5430000,42
1073010002,AL,0,12315000,85
1073010200,AL,0,510000,6
1073010301,AL,0,950000,10
1073010302,AL,0,315000,3
1073010401,AL,0,1350000,16
1073010402,AL,0,3215000,17
1073010500,AL,0,445000,7
1073010603,AL,0,2975000,21
1073010604,AL,0,2065000,19
1073010605,AL,0,210000,2
1073010701,AL,0,9455000,25
1073010701,AL,1,735000,1
1073010702,AL,0,31135000,83
1073010702,AL,1,25470000,26
1073010703,AL,0,17955000,37
1073010703,AL,1,20650000,20
1073010704,AL,0,12900000,36
1073010704,AL,1,1810000,2
1073010705,AL,0,30710000,76
1073010705,AL,1,29320000,28
1073010706,AL,0,13500000,48
1073010706,AL,1,665000,1
1073010801,AL,0,22245000,51
1073010801,AL,1,58985000,53
1073010802,AL,0,16315000,35
1073010802,AL,1,28580000,24
1073010803,AL,0,23065000,85
1073010803,AL,1,16370000,16
1073010804,AL,0,22145000,49
1073010804,AL,1,23025000,21
1073010806,AL,0,46130000,120
1073010806,AL,1,19820000,22
1073010807,AL,0,4460000,18
1073010807,AL,1,5725000,5
1073010900,AL,0,1195000,13
1073011002,AL,0,3170000,24
1073011003,AL,0,4755000,33
1073011004,AL,0,16600000,74
1073011004,AL,1,3185000,3
1073011108,AL,0,17950000,64
1073011109,AL,0,25030000,84
1073011109,AL,1,2350000,2
1073011110,AL,0,12395000,65
1073011112,AL,0,9025000,55
1073011113,AL,0,9005000,63
1073011114,AL,0,82060000,230
1073011115,AL,0,38965000,147
1073011116,AL,0,20790000,80
1073011116,AL,1,665000,1
1073011117,AL,0,30400000,114
1073011117,AL,1,655000,1
1073011205,AL,0,7205000,39
1073011206,AL,0,15285000,81
1073011206,AL,1,815000,1
1073011207,AL,0,7945000,47
1073011208,AL,0,11640000,62
1073011209,AL,0,4635000,33
1073011210,AL,0,3805000,29
1073011301,AL,0,6010000,36
1073011303,AL,0,15385000,61
1073011303,AL,1,715000,1
1073011304,AL,0,15340000,62
1073011401,AL,0,3830000,30
1073011402,AL,0,13865000,71
1073011402,AL,1,695000,1
1073011500,AL,0,15440000,92
1073011600,AL,0,12400000,52
1073011600,AL,1,725000,1
1073011704,AL,0,15915000,71
1073011706,AL,0,5425000,37
1073011707,AL,0,13500000,76
